[Q7881](https://www.wikidata.org/wiki/Q7881),[Skeletal](https://mathgloss.github.io/CatGloss/context/skeletal),,,[Skeleton](https://ncatlab.org/nlab/show/skeleton)
[Q2291918](https://www.wikidata.org/wiki/Q2291918),[Skeleton](https://mathgloss.github.io/CatGloss/context/skeleton),[Skeleton](https://mathgloss.github.io/CatGloss/topoi/skeleton),,
[Q420725](https://www.wikidata.org/wiki/Q420725),[Small](https://mathgloss.github.io/CatGloss/context/small),,[Small](https://mathgloss.github.io/CatGloss/bct/small),
[Q7432](https://www.wikidata.org/wiki/Q7432),[Species](https://mathgloss.github.io/CatGloss/context/species),,,[Species](https://ncatlab.org/nlab/show/species)
[Q288465](https://www.wikidata.org/wiki/Q288465),[Stabilizer](https://mathgloss.github.io/CatGloss/context/stabilizer),,,[Transitive action](https://ncatlab.org/nlab/show/transitive+action)
[Q7631142](https://www.wikidata.org/wiki/Q7631142),[Subfunctor](https://mathgloss.github.io/CatGloss/context/subfunctor),,,[Subfunctor](https://ncatlab.org/nlab/show/subfunctor)
[Q2547089](https://www.wikidata.org/wiki/Q2547089),[Subobject](https://mathgloss.github.io/CatGloss/context/subobject),[Subobject](https://mathgloss.github.io/CatGloss/topoi/subobject),[Quotient object](https://mathgloss.github.io/CatGloss/bct/quotient_object),[Subobject](https://ncatlab.org/nlab/show/subobject)
[Q207326](https://www.wikidata.org/wiki/Q207326),[Summit](https://mathgloss.github.io/CatGloss/context/summit),,,
[Q17103860](https://www.wikidata.org/wiki/Q17103860),[Symmetric monoidal category](https://mathgloss.github.io/CatGloss/context/symmetric_monoidal_category),,,[Symmetric monoidal category](https://ncatlab.org/nlab/show/symmetric+monoidal+category)
[Q188524](https://www.wikidata.org/wiki/Q188524),[Tensor](https://mathgloss.github.io/CatGloss/context/tensor),,,[Tensor](https://ncatlab.org/nlab/show/tensor)
[Q210481](https://www.wikidata.org/wiki/Q210481),[Terminal](https://mathgloss.github.io/CatGloss/context/terminal),,[Terminal](https://mathgloss.github.io/CatGloss/bct/terminal),
[Q25098802](https://www.wikidata.org/wiki/Q25098802),[Topological monoid](https://mathgloss.github.io/CatGloss/context/topological_monoid),,,[Topological monoid](https://ncatlab.org/nlab/show/topological+monoid)
[Q636889](https://www.wikidata.org/wiki/Q636889),[Total derivative](https://mathgloss.github.io/CatGloss/context/total_derivative),,,[Total derivative](https://ncatlab.org/nlab/show/total+derivative)
[Q223683](https://www.wikidata.org/wiki/Q223683),[Transpose](https://mathgloss.github.io/CatGloss/context/transpose),,[Transpose](https://mathgloss.github.io/CatGloss/bct/transpose),[Transpose matrix](https://ncatlab.org/nlab/show/transpose+matrix)
[Q1080547](https://www.wikidata.org/wiki/Q1080547),[Truncation](https://mathgloss.github.io/CatGloss/context/truncation),,,
[Q1987578](https://www.wikidata.org/wiki/Q1987578),[Unit interval](https://mathgloss.github.io/CatGloss/context/unit_interval),,,
[Q1945014](https://www.wikidata.org/wiki/Q1945014),[Unit object](https://mathgloss.github.io/CatGloss/context/unit_object),,,[Unitor](https://ncatlab.org/nlab/show/unitor)
[Q161172](https://www.wikidata.org/wiki/Q161172),[Unital ring](https://mathgloss.github.io/CatGloss/context/unital_ring),,,[Ring object](https://ncatlab.org/nlab/show/ring+object)
[Q386320](https://www.wikidata.org/wiki/Q386320),[Universal element](https://mathgloss.github.io/CatGloss/context/universal_element),[Representable functor](https://mathgloss.github.io/CatGloss/topoi/representable_functor),,[Universal element](https://ncatlab.org/nlab/show/universal+element)
[Q1417809](https://www.wikidata.org/wiki/Q1417809),[Universal property](https://mathgloss.github.io/CatGloss/context/universal_property),[Universal property](https://mathgloss.github.io/CatGloss/topoi/universal_property),[Universal](https://mathgloss.github.io/CatGloss/bct/universal),[Universal construction](https://ncatlab.org/nlab/show/universal+construction)
[Q17104639](https://www.wikidata.org/wiki/Q17104639),[Weak equivalence](https://mathgloss.github.io/CatGloss/context/weak_equivalence),,,[Weak homotopy equivalence](https://ncatlab.org/nlab/show/weak+homotopy+equivalence)
[Q204](https://www.wikidata.org/wiki/Q204),[Zero map](https://mathgloss.github.io/CatGloss/context/zero_map),,,[Zero function](https://ncatlab.org/nlab/show/zero+function)
[Q529752](https://www.wikidata.org/wiki/Q529752),[Zero object](https://mathgloss.github.io/CatGloss/context/zero_object),[Terminal object](https://mathgloss.github.io/CatGloss/topoi/terminal_object),,[Zero object](https://ncatlab.org/nlab/show/zero+object)
[Q7595945](https://www.wikidata.org/wiki/Q7595945),,[2-sheaf](https://mathgloss.github.io/CatGloss/topoi/2-sheaf),,[Artin stack](https://ncatlab.org/nlab/show/artin+stack)
[Q4669982](https://www.wikidata.org/wiki/Q4669982),,[Abstraction](https://mathgloss.github.io/CatGloss/topoi/abstraction),,
[Q345680](https://www.wikidata.org/wiki/Q345680),,[Antecedent](https://mathgloss.github.io/CatGloss/topoi/antecedent),,[Antecedent](https://ncatlab.org/nlab/show/antecedent)
[Q17123932](https://www.wikidata.org/wiki/Q17123932),,[Antisymmetric](https://mathgloss.github.io/CatGloss/topoi/antisymmetric),,
[Q177251](https://www.wikidata.org/wiki/Q177251),,[Associative Law](https://mathgloss.github.io/CatGloss/topoi/associative_law),[Associativity](https://mathgloss.github.io/CatGloss/bct/associativity),[Associativity](https://ncatlab.org/nlab/show/associativity)
[Q1896657](https://www.wikidata.org/wiki/Q1896657),,[Atom](https://mathgloss.github.io/CatGloss/topoi/atom),,[Urelement](https://ncatlab.org/nlab/show/urelement)
[Q2328174](https://www.wikidata.org/wiki/Q2328174),,[Atomic formula](https://mathgloss.github.io/CatGloss/topoi/atomic_formula),,
[Q179692](https://www.wikidata.org/wiki/Q179692),,[Axiom of choice](https://mathgloss.github.io/CatGloss/topoi/axiom_of_choice),[Axiom of choice](https://mathgloss.github.io/CatGloss/bct/axiom_of_choice),[Axiom of choice](https://ncatlab.org/nlab/show/axiom+of+choice)
[Q740424](https://www.wikidata.org/wiki/Q740424),,[Axiom of extensionality](https://mathgloss.github.io/CatGloss/topoi/axiom_of_extensionality),,[Axiom of extensionality](https://ncatlab.org/nlab/show/axiom+of+extensionality)
[Q920450](https://www.wikidata.org/wiki/Q920450),,[Axiom of infinity](https://mathgloss.github.io/CatGloss/topoi/axiom_of_infinity),,[Axiom of infinity](https://ncatlab.org/nlab/show/axiom+of+infinity)
